2,4,7,0,91.6,248.4,753.8,6.3,16.6,59,2.7,0,8390.56,61702.56,568214.44,39.69,275.56,3481,7.29,0,768575.296,15326915.904,428320044.872,250.047,4574.296,205379,19.683,0,0
1,4,7,0,91.7,191.4,635.9,7.8,19.9,50,4,0,8408.89,36633.96,404368.81,60.84,396.01,2500,16,0,771095.213,7011739.944,257138126.279,474.552,7880.599,125000,64,0,82.75
8,6,7,1,93.7,231.1,715.1,8.4,18.9,64,4.9,0,8779.69,53407.21,511368.01,70.56,357.21,4096,24.01,0,822656.953,12342406.231,365679263.951,592.704,6751.269,262144,117.649,0,3.32
7,4,7,1,91.6,273.8,819.1,7.7,15.5,72,8,0,8390.56,74966.44,670924.81,59.29,240.25,5184,64,0,768575.296,20525811.272,549554511.871,456.533,3723.875,373248,512,0,1.94
2,5,7,1,93.7,231.1,715.1,8.4,18.9,64,4.9,0,8779.69,53407.21,511368.01,70.56,357.21,4096,24.01,0,822656.953,12342406.231,365679263.951,592.704,6751.269,262144,117.649,0,0
8,6,7,1,93.7,231.1,715.1,8.4,18.9,64,4.9,0,8779.69,53407.21,511368.01,70.56,357.21,4096,24.01,0,822656.953,12342406.231,365679263.951,592.704,6751.269,262144,117.649,0,0
1,4,8,1,91,276.3,825.1,7.1,14.5,76,7.6,0,8281,76341.69,680790.01,50.41,210.25,5776,57.76,0,753571,21093208.947,561719837.251,357.911,3048.625,438976,438.976,0,3.71
6,5,1,0,75.1,4.4,16.2,1.9,4.6,82,6.3,0,5640.01,19.36,262.44,3.61,21.16,6724,39.69,0,423564.751,85.184,4251.528,6.859,97.336,551368,250.047,0,5.39
6,4,1,0,75.1,4.4,16.2,1.9,5.1,77,5.4,0,5640.01,19.36,262.44,3.61,26.01,5929,29.16,0,423564.751,85.184,4251.528,6.859,132.651,456533,157.464,0,2.14
2,2,1,1,79.5,3.6,15.3,1.8,4.6,59,0.9,0,6320.25,12.96,234.09,3.24,21.16,3481,0.81,0,502459.875,46.656,3581.577,5.832,97.336,205379,0.729,0,6.84
6,5,2,0,87.2,15.1,36.9,7.1,10.2,45,5.8,0,7603.84,228.01,1361.61,50.41,104.04,2025,33.64,0,663054.848,3442.951,50243.409,357.911,1061.208,91125,195.112,0,3.18
3,4,2,0,90.2,18.5,41.1,7.3,11.2,41,5.4,0,8136.04,342.25,1689.21,53.29,125.44,1681,29.16,0,733870.808,6331.625,69426.531,389.017,1404.928,68921,157.464,0,5.55
6,5,2,0,91.3,20.6,43.5,8.5,13.3,27,3.6,0,8335.69,424.36,1892.25,72.25,176.89,729,12.96,0,761048.497,8741.816,82312.875,614.125,2352.637,19683,46.656,0,6.61
6,3,3,1,91,14.6,25.6,12.3,13.7,33,9.4,0,8281,213.16,655.36,151.29,187.69,1089,88.36,0,753571,3112.136,16777.216,1860.867,2571.353,35937,830.584,0,61.13
